id,retweet_count,retweeted,Clean_Text
1570097769364467712,0,False,gofilmit goetheinstitut filmicpro sonyxperia zhiyuntech cosyspeed brilliant work 👏
1570097769125400576,0,False,have everyday amp work lol
1570097768596660224,3263,True,rt drtedros condemn attack civilian tigray long fighting continue innocent life risk ayder referral
1570097768445665280,0,False,realbonio nexta_tv deterrence work mean send force reckon ten thousand t https t co xewcpnumberrlnumberr
1570097768043286529,49,True,rt itisprashanth malayalam kannada cinema recently deliver exceptional quality term cinematography music hero
1570097767833288704,1,True,rt uccalumdevel medical graduates association annual scientific conference number number numberam numberpm saturday number october brookfield ucc registr
1570097767724318720,0,False,amazing work https t co lmmlaelek
1570097767699337216,23,True,rt improvethedream need figure way accommodate people want come work productive want t
1570097766826930178,0,False,feel like take number% numberk people creative work work business patreon want shot run
1570097765031546881,1278,True,rt darrenedmundsonumber good work tommy 👌 👍 ✌ ️ https t co snumberdqltkwh
1570097764784304129,2,True,rt splendidlydull ashvinnnumber rahulgandhi owaisi good work plague get brits amp ambedkar mandal enforce caste s
1570097764700229633,0,False,carolloganbush joeshmoeu tiernanmcadam james_frantanumber sorry concern work ethic co https t co ibonumberrigmnumberg
1570097764641521666,12416,True,rt priinnyvert hint work purposely act dumb chest
1570097764465360898,26,True,rt numberflash reason man will progress life man bear genetic poverty increase salary
1570097764310331392,2,True,rt jitendrajigyasnumber janardanspeak number mahine baad bahal ho jayengi salary salary
1570097764079370241,0,False,scotnational snp leader laugh way bank 🏦 especially gullible mug th https t co nqsfqnsnumberb
1570097763936772101,13,True,rt kmutisi america rich country world afford fully fund tertiary education zimbabwe taxpay
1570097763907518465,75,True,rt roxyryoko week father pass away suddenly contract covid go unemployed week work
1570097763022667778,0,False,avinash_amg mariamisilewich tmorello work insanely hard project soft power abroad https t co ggunumberokvnumberdnumber
1570097762561302530,2,True,rt sonoranstevenumber senate polling continue good d position work hard register voter turn perh
1570097762393378817,556,True,rt tl_chaos work hard woman believe
1570097762343026688,6,True,rt iyanu_okeya work progress 😁 😁 new material new deign ✌ ️ anticipate https t co mxzchyiglnumber
1570097762254864386,102,True,rt marvelnumberusjesus give rule unwilling work shall eat number thessalonian number number
1570097762078957570,27,True,rt cuteyeripic work art https t co rnumbermcrsnumberj
1570097760904388608,0,False,tykessnft great work pwkmahdawyel angelsunsu uiokatnumber violetcutenumber
1570097760724209664,0,False,problem eat lunch soon work instead wait lunch time
1570097760698785794,0,False,work talk number minute break like 😩 😂
1570097760606752768,0,False,taliban dictatorship stage snippet film proof woman afghanistan free wander stre https t co ltgrnumbergtuct
1570097760237678593,0,False,bader_diedrich crew like adapt funny cringey raw real pro choice feminist novel https t co znnumbercvonumbernhu
1570097759763439616,27,True,rt aoifegracemoore time get work morning receive separate text tell use normal door
1570097759159549952,1894,True,rt larryjunetfm sure put work everyday small
1570097758740119555,0,False,yey welcome brother sister 🤷 ‍ ♂ ️ birtate work 🙃 https t co mznumberoxhwnumberpd
1570097758505435136,0,False,ithinkbuzz theonion good work jtrx
1570097758497034240,12416,True,rt priinnyvert hint work purposely act dumb chest
1570097758454927367,1,True,rt ayola_m public service announcement buy samke mhlongo book love work financial
1570097757985062914,0,False,deep_sky_dude flyonnonumberwall telbabe wee bit hyperbolic middle class work abroad educa https t co gafunumberydacw
1570097757880303618,504,True,rt ausbassie pray tonight pray good take g
1570097757527969792,1060,True,rt nickiminaj let hope ppl guy r dirty work love hire notch lawyer amp pay
1570097757293260803,7,True,rt rdcparisafp job afp look young dynamic journalist join editing desk london paris incredible op
1570097757075177478,0,False,🔮 good morning today available tarot reading amp energy work number number number hour long session 💫 book https t co zomrataywg
1570097756877819907,1060,True,rt nickiminaj let hope ppl guy r dirty work love hire notch lawyer amp pay
1570097756722843648,101,True,rt cypherluscious like bts new beatles group new bts respectful
1570097756244508673,30,True,rt vuhlandes social medium long put work find way algorithm ensure see
1570097756236029952,0,False,zaidkolanumber like pretty obvious thing work screen page gi https t co rnumberntffyqnumber
1570097755640696832,1495,True,rt edknumber luna classic community drive change decide fate blockchain luna vnumber
1570097755418423297,0,False,dm_design beautiful work 💪
1570097755330318336,0,False,hi friend dil_uchi recruit uganda base senior manager manager policy research exciti https t co unumberttnumbersrruq
