id,favorite_count,favorited,id,retweet_count,retweeted,Clean_Text
1599153471319470080,2,True,1599153471319470080,0,False,build thing buy couple new tool woodworke game want movable table https t co ynumbertkvwnhxb
1599152973103255559,0,False,1599152973103255559,0,False,uthsc diversity inclusion campus promote positive learning environment look https t co sdnumbernmdnumberhsw
1599152611122286594,0,False,1599152611122286594,0,False,like invite number advanced graduate student early career faculty present work solidly progress https t co numberthznnumberbte
1599152267050905601,0,False,1599152267050905601,0,False,dunno dunno graduate new york cool https t co gihiknumberzzvnumber
1599150058586664960,241,True,1599150058586664960,11,True,favorite new insult tankie leave 😂 move country https t co tcnwxqkzqa
1599148732595175424,16,True,1599148732595175424,0,False,week graduate thursday allow week work order thing myse https t co qccnumberzswkua
1599147397384265731,0,False,1599147397384265731,12,True,rt iamsaharagroup world class learning development programme cut entire energy value chain brand new automo
1599147363360075779,0,False,1599147363360075779,59,True,rt prageru new great way gauge society examine tolerate watch streitmarissa interview zubymusic ht
1599147117640982529,0,False,1599147117640982529,12,True,rt iamsaharagroup world class learning development programme cut entire energy value chain brand new automo
1599146074954141696,2,True,1599146074954141696,0,False,meet dwane holloman m s digital marketing number graduate amp new media communications coordinator university pen https t co numberkwlcqbdlj
1599144104952467456,0,False,1599144104952467456,0,False,dnaglenda thatpersonjam hypatianumber supertolerant brianbakewell redwytch gc_feminist zenonumber heather_pw https t co odbkzjnumberdkq
1599142472198029314,0,False,1599142472198029314,1,True,rt jpgpicscom lina chi design furniture linoleum material new light design academy eindhoven graduate lina
1599141930511630337,0,False,1599141930511630337,112,True,rt arynewsofficial mbbs graduate set new world record win number gold medal read https t co nbnumberyasdvznumber arynew https t
1599140992032346112,0,False,1599140992032346112,82,True,rt gchahal breaking bnnpakistan reports accord report mbbs graduate hafiz mohammad waleed malik set new world record
1599140988412624896,0,False,1599140988412624896,0,False,new years resolutions number alcohol graduate school want leave https t co qkcnumberpnumberjnumberq
1599140152030306304,0,False,1599140152030306304,82,True,rt gchahal breaking bnnpakistan reports accord report mbbs graduate hafiz mohammad waleed malik set new world record
1599137158551728129,0,False,1599137158551728129,2,True,rt tgrfound support earl woods scholar program karina ramirez achieve childhood dream generation coll
1599135723927769088,0,False,1599135723927769088,0,False,doodleandpoodle calypsoreno numberhvacguylv joelombardonv number graduate degree numberk brand https t co unumberbonumberpwwdnumber
1599134916805300224,0,False,1599134916805300224,0,False,god wisdom graduate class number botanical new king james version itusygx https t co oocydznucx https t co jbsnkjenumberis
1599134222031081472,0,False,1599134222031081472,12,True,rt iamsaharagroup world class learning development programme cut entire energy value chain brand new automo
1599132952595955713,0,False,1599132952595955713,82,True,rt gchahal breaking bnnpakistan reports accord report mbbs graduate hafiz mohammad waleed malik set new world record
1599132901253054465,3,True,1599132901253054465,1,True,welcome new year graduate student lindsey nishadi renee theschultzlab happy join
